[Test] Rodando loop por 3600s...
  step=76000, err=0.9217, surprise=2.738
  step=76500, err=1.1086, surprise=3.492
  step=77000, err=0.8799, surprise=2.423
  step=77500, err=0.2319, surprise=1.000
  step=78000, err=0.3439, surprise=1.000
  step=78500, err=1.1043, surprise=3.476
  step=79000, err=0.3611, surprise=1.000
  step=79500, err=0.1334, surprise=1.000
  step=80000, err=0.4444, surprise=1.133
  step=80500, err=0.0214, surprise=1.000
  step=81000, err=1.0134, surprise=3.338
  step=81500, err=0.2635, surprise=1.000
  step=82000, err=0.7973, surprise=1.830
  step=82500, err=0.2809, surprise=1.000
  step=83000, err=0.0662, surprise=1.000
  step=83500, err=0.8246, surprise=2.068
  step=84000, err=0.9820, surprise=3.054
  step=84500, err=0.4639, surprise=1.000
  step=85000, err=0.4292, surprise=1.000
  step=85500, err=0.0269, surprise=1.000
  step=86000, err=0.5996, surprise=1.000
  step=86500, err=0.2438, surprise=1.000
  step=87000, err=0.1524, surprise=1.000
  step=87500, err=0.2089, surprise=1.000
  step=88000, err=1.0624, surprise=3.377
  step=88500, err=0.8383, surprise=2.083
  step=89000, err=1.0028, surprise=3.373
  step=89500, err=0.9069, surprise=3.077
  step=90000, err=0.7796, surprise=1.738
  step=90500, err=1.0631, surprise=3.448
  step=91000, err=0.5507, surprise=3.473
  step=91500, err=1.0959, surprise=3.542
  step=92000, err=0.2981, surprise=1.000
  step=92500, err=0.2793, surprise=1.000
  step=93000, err=1.1026, surprise=3.509
  step=93500, err=0.1174, surprise=1.000
  step=94000, err=0.1073, surprise=1.000
  step=94500, err=0.4471, surprise=1.000
  step=95000, err=0.7929, surprise=1.837
  step=95500, err=0.8766, surprise=2.624
  step=96000, err=0.1980, surprise=1.000
  step=96500, err=1.0203, surprise=3.180
  step=97000, err=1.0327, surprise=3.203
  step=97500, err=0.1876, surprise=1.000
  step=98000, err=0.3182, surprise=1.000
  step=98500, err=0.1657, surprise=1.000
  step=99000, err=0.4576, surprise=3.107
  step=99500, err=0.8140, surprise=1.990
  step=100000, err=1.0962, surprise=3.450
  step=100500, err=0.6032, surprise=1.000
  step=101000, err=0.8242, surprise=2.470
  step=101500, err=0.1106, surprise=1.000
  step=102000, err=1.0837, surprise=3.486
  step=102500, err=0.2793, surprise=1.000
  step=103000, err=0.1039, surprise=1.000
  step=103500, err=0.6487, surprise=1.000
  step=104000, err=0.2281, surprise=1.271
  step=104500, err=0.2206, surprise=1.000
  step=105000, err=1.0963, surprise=3.468
  step=105500, err=1.0179, surprise=3.329
  step=106000, err=0.7084, surprise=1.773
  step=106500, err=0.5875, surprise=1.000
  step=107000, err=0.8465, surprise=2.351
  step=107500, err=0.1682, surprise=1.000
  step=108000, err=1.0663, surprise=3.375
  step=108500, err=0.5797, surprise=1.000
  step=109000, err=0.3287, surprise=1.000
  step=109500, err=0.4428, surprise=1.000
  step=110000, err=0.6178, surprise=1.000
  step=110500, err=0.5397, surprise=1.000
  step=111000, err=1.0837, surprise=3.467
  step=111500, err=1.0051, surprise=3.444
  step=112000, err=0.7268, surprise=2.722
  step=112500, err=0.2799, surprise=1.000
  step=113000, err=1.0962, surprise=3.445
  step=113500, err=1.0659, surprise=3.433
  step=114000, err=1.0383, surprise=3.570
  step=114500, err=0.2022, surprise=1.000
  step=115000, err=0.5991, surprise=1.000
  step=115500, err=0.1173, surprise=1.000
  step=116000, err=0.2394, surprise=1.000
  step=116500, err=0.7711, surprise=1.953
  step=117000, err=0.2210, surprise=1.000
  step=117500, err=0.1503, surprise=1.000
  step=118000, err=0.2713, surprise=1.000
  step=118500, err=0.9721, surprise=3.103
  step=119000, err=0.8213, surprise=2.066
  step=119500, err=0.0007, surprise=1.000
  step=120000, err=0.2737, surprise=1.000
  step=120500, err=1.1136, surprise=3.377
  step=121000, err=1.0123, surprise=3.179
  step=121500, err=0.6988, surprise=3.441
  step=122000, err=0.3588, surprise=1.000
  step=122500, err=0.2805, surprise=1.000
  step=123000, err=0.1569, surprise=1.000
  step=123500, err=0.9761, surprise=3.097
  step=124000, err=0.6371, surprise=1.000
  step=124500, err=0.6485, surprise=1.000
  step=125000, err=0.2983, surprise=1.000
  step=125500, err=0.9305, surprise=2.472
  step=126000, err=0.1786, surprise=1.000
  step=126500, err=0.9220, surprise=3.669
  step=127000, err=1.0617, surprise=2.827
  step=127500, err=0.1338, surprise=1.000
  step=128000, err=1.0809, surprise=3.001
  step=128500, err=0.7963, surprise=2.668
  step=129000, err=1.0568, surprise=3.365
  step=129500, err=0.4695, surprise=1.000
  step=130000, err=0.9860, surprise=3.015
  step=130500, err=0.4628, surprise=1.000
  step=131000, err=0.8134, surprise=1.904
  step=131500, err=0.4126, surprise=1.000
  step=132000, err=1.0799, surprise=3.439
  step=132500, err=0.2808, surprise=1.000
  step=133000, err=1.1022, surprise=3.443
  step=133500, err=0.5720, surprise=1.000
  step=134000, err=0.4808, surprise=1.000
  step=134500, err=0.9641, surprise=2.937
  step=135000, err=0.9978, surprise=3.018
  step=135500, err=0.9599, surprise=2.894
  step=136000, err=0.5348, surprise=1.000
  step=136500, err=0.0127, surprise=1.000
  step=137000, err=0.8000, surprise=1.570
  step=137500, err=0.1184, surprise=1.000
  step=138000, err=0.2423, surprise=1.000
  step=138500, err=0.5551, surprise=2.911
  step=139000, err=0.2176, surprise=1.000
  step=139500, err=0.8358, surprise=2.136
  step=140000, err=1.0086, surprise=3.193
  step=140500, err=0.6764, surprise=1.000
  step=141000, err=0.5382, surprise=1.000
  step=141500, err=0.0597, surprise=1.000
  step=142000, err=0.6973, surprise=1.000
  step=142500, err=0.2815, surprise=1.000
  step=143000, err=0.1874, surprise=1.000
  step=143500, err=0.2536, surprise=1.000
  step=144000, err=1.0989, surprise=3.461
  step=144500, err=1.0968, surprise=3.465
  step=145000, err=0.9997, surprise=3.149
  step=145500, err=0.0587, surprise=1.000
  step=146000, err=0.8008, surprise=1.719
  step=146500, err=0.3802, surprise=1.000
  step=147000, err=0.2833, surprise=1.000
  step=147500, err=0.1044, surprise=1.000
